,Unnamed: 0,CatchId,Stage,Number of Cells,SurfaceArea (m2),BedArea (m2),Volume (m3),SLOPE,LENGTHKM,AREASQKM,Roughness,TopWidth (m),WettedPerimeter (m),WetArea (m2),HydraulicRadius (m),Discharge (m3s-1)
4978268,730162,8783531,3.3528,1777,152749.345302,10427178.814903,357565.991802,0.00276833,1.882,2.1276,0.05,81.16330781190224,5540.4775849644,189.99255674920295,0.0342917291579339,21.102557986682204
4978269,730163,8783531,3.6576,1840,158164.65183599998,10432610.919124,405009.112501,0.00276833,1.882,2.1276,0.05,84.04072892454835,5543.363931521785,215.20144128639745,0.0388214528118343,25.9636227453885
4978270,730164,8783531,3.9624,1905,163751.88566,10438213.683387,454077.386045,0.00276833,1.882,2.1276,0.05,87.00950353878854,5546.340958229011,241.27385018331563,0.0435014457279878,31.40400035168048
4978271,730165,8783531,4.2672,1961,168565.469698,10443044.575224,504617.240155,0.00276833,1.882,2.1276,0.05,89.56719962699258,5548.907850809778,268.1281828666313,0.048320893061416,37.43156843261291
4978272,730166,8783531,4.572,2029,174410.567714,10448913.267561,556845.1913739999,0.00276833,1.882,2.1276,0.05,92.67299028374072,5552.026178300213,295.87948532093515,0.0532921632245474,44.09229246212585
4978273,730167,8783531,4.8768,2091,179739.899623,10454260.653722,610857.205881,0.00276833,1.882,2.1276,0.05,95.5047288113709,5554.867509947928,324.57874913974496,0.0584314114708358,51.4307975378554
4978274,730168,8783531,5.1816,2172,186702.403702,10461247.486113,666815.528976,0.00276833,1.882,2.1276,0.05,99.20425276408078,5558.5799607401705,354.3121833028693,0.0637414925764043,59.49399928080622
4978275,730169,8783531,5.4864,2247,193149.170439,10467715.860197,724692.657289,0.00276833,1.882,2.1276,0.05,102.62973987194476,5562.016928903827,385.06517390488847,0.0692312121352672,68.31894073925604
4978276,730170,8783531,5.7912,2337,200885.308369,10475471.797551,784639.994668,0.00276833,1.882,2.1276,0.05,106.74033388363443,5566.138043332094,416.9181693241233,0.0749025924399354,77.95685560830076
4978277,730171,8783531,6.096,2482,213349.114391,10487954.865495,847750.060398,0.00276833,1.882,2.1276,0.05,113.36297257757708,5572.770916841127,450.45167927630183,0.0808308265310206,88.61457290337697
4978278,730172,8783531,6.4008,2575,221343.14524,10495968.856211,914008.329993,0.00276833,1.882,2.1276,0.05,117.61059789585548,5577.029147827311,485.6579861811902,0.0870818447076598,100.40481497766405
4978279,730173,8783531,6.7056,2670,229509.06636,10504160.729427,982663.85304,0.00276833,1.882,2.1276,0.05,121.94955704569608,5581.38189661371,522.1380728161531,0.093549963519418,113.22787812275894
4978280,730174,8783531,7.0104,2760,237245.216189,10511921.728366,1053757.245629,0.00276833,1.882,2.1276,0.05,126.060157379915,5585.505700513285,559.9135205255049,0.100244015590934,127.14487238503553
4978281,730175,8783531,7.3152,2871,246786.450896,10521487.774692,1127437.77879,0.00276833,1.882,2.1276,0.05,131.12988889266737,5590.588615670563,599.0636444155153,0.1071557371859422,142.2183083045688
4978282,730176,8783531,7.62,2976,255811.942674,10530534.876413,1203945.047331,0.00276833,1.882,2.1276,0.05,135.9255805919235,5595.395789804995,639.7157530982997,0.1143289549353924,158.57332272583574
4978283,730177,8783531,7.9248,3097,266212.72043000004,10540955.605579,1283521.794086,0.00276833,1.882,2.1276,0.05,141.45202998405955,5600.932840371414,681.9988278884166,0.121765221495352,176.30774693741017
4978284,730178,8783531,8.2296,3217,276527.542481,10551293.944288,1366377.398947,0.00276833,1.882,2.1276,0.05,146.93280684431457,5606.42611279915,726.0241227136027,0.1294985625612957,195.5539567894235
4978285,730179,8783531,8.5344,3330,286240.645852,10561025.834025,1452127.599202,0.00276833,1.882,2.1276,0.05,152.0938607077577,5611.59714879118,771.587459724761,0.1374987261676423,216.3000080935364
